,Memo,Subcategory,month,Amount
498,NEXT DIRECTORY,PAYMENT,6,-20.0
499,NEXT DIRECTORY,PAYMENT,8,-25.0
500,NEXT DIRECTORY,PAYMENT,9,-25.0
501,NEXT RETAIL,PAYMENT,2,-95.05
502,NEXT RETAIL,PAYMENT,3,-52.05
503,NEXT RETAIL,PAYMENT,6,-95.0
504,NOWTV.COM,PAYMENT,4,-7.99
505,NOWTV.COM,PAYMENT,5,-7.99
506,NOWTV.COM,PAYMENT,6,-7.99
507,NOWTV.COM,PAYMENT,7,-7.99
508,NOWTV.COM,PAYMENT,8,-7.99
509,NOWTV.COM,PAYMENT,9,-7.99
510,NUTRITION CENTRE L,PAYMENT,4,-9.3
511,NYA,PAYMENT,5,-3.0
512,NYA,PAYMENT,8,-3.3000000000000003
513,ODEON,PAYMENT,4,-35.7
514,ODEON,PAYMENT,5,-5.6
515,OLD WHITE HORSE,PAYMENT,8,-145.55
516,OVEN FRESH BAKERY,PAYMENT,7,-4.0
517,OXFAM F4250,PAYMENT,4,-10.93
518,PAPERCHASE,PAYMENT,1,-16.25
519,PAPERCHASE,PAYMENT,2,-5.0
520,PAPERCHASE,PAYMENT,3,-9.25
521,PAPERCHASE,PAYMENT,4,-3.0
522,PAPERCHASE,PAYMENT,5,-14.5
523,PAPERCHASE,PAYMENT,6,-7.5
524,PAPERCHASE,PAYMENT,9,-3.5
525,PAPERCHASE PRODUCT,PAYMENT,4,-9.0
526,PAPERCHASE PRODUCT,PAYMENT,6,-3.0
527,PARTNERS FOR PRINT,PAYMENT,2,-11.04
528,PATISSERIE VALERIE,PAYMENT,1,-9.6
529,PAYPAL,PAYMENT,3,-423.09
530,PAYPAL,PAYMENT,4,-288.58
531,PAYPAL,PAYMENT,5,-97.06
532,PAYPAL,PAYMENT,6,-11.98
533,PAYPAL,PAYMENT,7,-89.92
534,PELT TRADER,PAYMENT,7,-7.2
535,PETER DILLONS PUB     USA,PAYMENT,2,-5.57
536,PETS AT HOME,PAYMENT,2,-13.0
537,PIZZA EXPRESS,PAYMENT,4,-71.2
538,PIZZA EXPRESS,PAYMENT,5,-30.75
539,POST OFFICE COUNTE,PAYMENT,1,-21.84
540,POST OFFICE COUNTE,PAYMENT,2,-21.36
541,POST OFFICE COUNTE,PAYMENT,3,-30.68
542,POST OFFICE COUNTE,PAYMENT,4,-16.310000000000002
543,POST OFFICE COUNTE,PAYMENT,5,-2.3
544,POST OFFICE COUNTE,PAYMENT,6,-5.56
545,POST OFFICE COUNTE,PAYMENT,7,-5.8
546,POST OFFICE COUNTE,PAYMENT,8,-3.0
547,POST OFFICE SELF S,PAYMENT,9,-2.3
548,POUNDLAND,PAYMENT,4,-5.05
549,POUNDLAND,PAYMENT,6,-3.0
550,POUNDLAND,PAYMENT,9,-2.0
551,PP,PAYMENT,1,-14.9
552,PP,PAYMENT,5,-7.9
553,PP,PAYMENT,6,-7.8
554,PREMIER FARNELL,PAYMENT,4,-14.29
555,PRESS COFFEE &amp;,PAYMENT,3,-2.8
556,PRET A MANGER,PAYMENT,1,-4.69
557,PRET A MANGER,PAYMENT,2,-15.57
558,PRET A MANGER,PAYMENT,4,-11.54
559,PRET A MANGER,PAYMENT,5,-7.34
560,PRET A MANGER,PAYMENT,6,-12.95
561,PRET A MANGER,PAYMENT,8,-21.13
562,PRET A MANGER,PAYMENT,9,-12.73
563,PRICEWATCH LOCAL L,PAYMENT,4,-44.26
564,PRIMARK,PAYMENT,2,-8.5
565,PRIORY FARM,PAYMENT,6,-1.75
566,PRIORY FARM NURSER,PAYMENT,2,-8.6
567,PROCAFFEINATION,PAYMENT,8,-14.9
568,PUCCINO&#039;S,PAYMENT,3,-17.95
569,PUCCINO&#039;S,PAYMENT,4,-4.0
570,PUCCINO&#039;S,PAYMENT,5,-9.5
571,PUCCINO&#039;S,PAYMENT,6,-14.05
572,PUCCINO&#039;S,PAYMENT,7,-15.1
573,PUCCINO&#039;S,PAYMENT,8,-11.4
574,PUCCINO&#039;S,PAYMENT,9,-8.2
575,PUCCINOS,PAYMENT,1,-13.8
576,PUCCINOS,PAYMENT,2,-27.25
577,PUCCINOS,PAYMENT,3,-15.25
578,PUCCINOS,PAYMENT,4,-8.75
579,PUCCINOS,PAYMENT,5,-20.15
580,PUCCINOS,PAYMENT,6,-15.15
581,PUCCINOS,PAYMENT,7,-16.8
582,PUCCINOS,PAYMENT,9,-2.0
583,PUCCINOS FOYER RED,PAYMENT,1,-12.100000000000001
584,PUCCINOS FOYER RED,PAYMENT,2,-10.2
585,PUMPKIN,PAYMENT,4,-6.39
586,PUMPKIN CAFE,PAYMENT,3,-1.99
587,PURE 23VS,PAYMENT,1,-2.75
588,PURE 23VS,PAYMENT,2,-3.25
589,PURE PHARMACY         IRELAND,PAYMENT,5,-20.33
590,PURE SW1E 5DJ,PAYMENT,1,-4.84
591,Patreon,PAYMENT,3,-4.72
592,Patreon,PAYMENT,4,-4.75
593,Patreon,PAYMENT,5,-4.74
594,Patreon,PAYMENT,6,-4.91
595,Patreon,PAYMENT,7,-4.88
596,Patreon,PAYMENT,8,-5.11
597,Patreon,PAYMENT,9,-5.09
598,Prime Video,PAYMENT,1,-1.99
599,Prime Video,PAYMENT,2,-8.870000000000001
600,Prime Video,PAYMENT,3,-9.48
601,Prime Video,PAYMENT,4,-13.96
602,Prime Video,PAYMENT,5,-5.98
603,Prime Video,PAYMENT,6,-6.970000000000001
604,Prime Video,PAYMENT,7,-10.47
605,Prime Video,PAYMENT,9,-3.49
606,RBK PARKING,PAYMENT,1,-3.6
607,RBK PARKING,PAYMENT,2,-2.55
608,RBK PARKING,PAYMENT,4,-2.4
609,RBK PARKING,PAYMENT,5,-4.4
610,REDHILL PLUMBING C,PAYMENT,7,-12.99
611,REIGATE &amp; BANSTEAD,PAYMENT,1,-10.4
612,REIGATE &amp; BANSTEAD,PAYMENT,2,-11.1
613,REIGATE &amp; BANSTEAD,PAYMENT,3,-3.1
614,REIGATE &amp; BANSTEAD,PAYMENT,6,-4.3
615,REIGATE PARISH,PAYMENT,3,-13.0
616,REIGATE PARISH CHU,PAYMENT,3,-19.0
617,REIGATE PARISH CHU,PAYMENT,5,-17.0
618,REIGATE PARISH CHU,PAYMENT,6,-81.1
619,RICHARD BOOTHS BOO,PAYMENT,8,-31.25
620,RIGHTS OF MAN,PAYMENT,1,-39.1
621,RINGGO,PAYMENT,1,-3.9
622,RINGGO PARKING,PAYMENT,7,-1.7
623,RINGGO PARKING 8,PAYMENT,8,-1.12
624,RISTRETTO,PAYMENT,7,-8.1
625,ROADCHEF M SERV UP,PAYMENT,3,-3.49
626,RODERICK CHARLES C,PAYMENT,2,-129.0
627,RONTEC REIGATE MAN,PAYMENT,2,-27.69
628,RONTEC REIGATE MAN,PAYMENT,3,-90.14
629,RONTEC REIGATE MAN,PAYMENT,4,-224.41000000000003
630,RONTEC REIGATE MAN,PAYMENT,5,-186.86
631,RONTEC REIGATE MAN,PAYMENT,7,-48.59
632,RONTEC REIGATE MAN,PAYMENT,8,-46.43000000000001
633,ROTHIEMURCHUS,PAYMENT,8,-44.89
634,RUSH,PAYMENT,4,-45.0
635,RUSHFIELDS PLANT C,PAYMENT,6,-25.53
636,SAINSBURY&#039;S S,PAYMENT,1,-21.65
637,SAINSBURY&#039;S S,PAYMENT,2,-147.0
638,SAINSBURY&#039;S S,PAYMENT,3,-59.95
639,SAINSBURY&#039;S S,PAYMENT,4,-274.97
640,SAINSBURY&#039;S S,PAYMENT,5,-185.82999999999998
641,SAINSBURY&#039;S S,PAYMENT,6,-181.76
642,SAINSBURY&#039;S S,PAYMENT,8,-148.92
643,SAINSBURY&#039;S S,PAYMENT,9,-35.4
644,SAINSBURYS MASTERC    5126879468159731   BBP,PAYMENT,7,-30.0
645,SAINSBURYS PETROL,PAYMENT,7,-8.6
646,SAINSBURYS S,PAYMENT,1,-13.95
647,SAINSBURYS S,PAYMENT,2,-42.9
648,SAINSBURYS S,PAYMENT,3,-453.47999999999996
649,SAINSBURYS S,PAYMENT,4,-331.04
650,SAINSBURYS S,PAYMENT,5,-264.17
651,SAINSBURYS S,PAYMENT,6,-60.35
652,SAINSBURYS S,PAYMENT,7,-62.55
653,SAINSBURYS S,PAYMENT,8,-85.61
654,SAINSBURYS S,PAYMENT,9,-18.85
655,SAINSBURYS SMKTS,PAYMENT,6,-10.6
656,SAM MCCAULEY CHEMI    IRELAND,PAYMENT,6,-1.83
657,SAN REMO CAFE,PAYMENT,4,-13.3
658,SAVERS HEALTH &amp; BE,PAYMENT,4,-2.79
659,SCIENCE MUSEUM,PAYMENT,1,-14.0
660,SCIENCE MUSEUM-BEN,PAYMENT,1,-18.2
661,SCREWFIX DIRECT LT,PAYMENT,5,-31.47
662,SCREWFIX DIRECT LT,PAYMENT,7,-29.46
663,SELECTA UK GBP,PAYMENT,6,-1.0
664,SEVERN VIEW WH SMI,PAYMENT,8,-2.8
665,SHELL ALDERMASTON,PAYMENT,8,-5.28
666,SHELL BUCKLAND 238,PAYMENT,5,-25.2
667,SHELL BUCKLAND 238,PAYMENT,7,-40.05
668,SHELL BUCKLAND 238,PAYMENT,8,-40.68
669,SHELL SHOREHAM AIR,PAYMENT,6,-72.15
670,SHERE DELIGHTS,PAYMENT,7,-11.5
671,SHOPIFY,PAYMENT,1,-23.45
672,SHOPIFY,PAYMENT,2,-23.07
673,SHOPIFY,PAYMENT,3,-22.94
674,SHOPIFY,PAYMENT,4,-22.87
675,SHOPIFY,PAYMENT,5,-22.97
676,SHOPIFY,PAYMENT,6,-23.51
677,SHOPIFY,PAYMENT,7,-23.84
678,SHOPIFY,PAYMENT,8,-24.59
679,SHOPIFY,PAYMENT,9,-24.29
680,SLIPSHOE ST DENTAL,PAYMENT,9,-100.0
681,SMALLFIELD RIDING,PAYMENT,4,-100.0
682,SMALLFIELD RIDING,PAYMENT,5,-110.0
683,SMALLFIELD RIDING,PAYMENT,6,-45.0
684,SMALLFIELD RIDING,PAYMENT,7,-15.0
685,SMALLFIELD RIDING,PAYMENT,8,-90.0
686,SMIGGLE,PAYMENT,4,-12.05
687,SMIGGLE,PAYMENT,8,-15.5
688,SMITH &amp; WESTERN (T,PAYMENT,4,-4.9
689,SNOW &amp; ROCK,PAYMENT,4,-30.65
690,SOURCE FOOD,PAYMENT,6,-5.25
691,SOUTHERN CO-OP 037,PAYMENT,1,-2.0
692,SOUTHERN CO-OP 037,PAYMENT,4,-9.19
693,SOUTHERN CO-OP 037,PAYMENT,8,-7.0
694,SOUTHWATER COUNTRY,PAYMENT,7,-4.7
695,SPAR CARRBRIDGE 50,PAYMENT,8,-10.95
696,SPAR HAY-ON-WYE,PAYMENT,8,-2.2
697,SPICE GURU,PAYMENT,1,-70.0
698,SPICE GURU,PAYMENT,2,-81.25
699,SPORTSDIRECT.COM,PAYMENT,2,-28.0
700,SQ,PAYMENT,1,-1.0
701,SQUIRES GARDEN CEN,PAYMENT,5,-14.25
702,SSP IRELAND,PAYMENT,7,-7.54
703,STARBUCKS,PAYMENT,6,-2.8
704,STARBUCKS,PAYMENT,7,-3.8
705,STARBUCKS,PAYMENT,8,-6.85
706,STARBUCKS,PAYMENT,9,-4.8
707,STARBUCKS 11121453,PAYMENT,6,-3.15
708,STARBUCKS BARTON S,PAYMENT,5,-11.8
709,STEAMGAMES.COM,PAYMENT,1,-3.74
710,STEAMGAMES.COM,PAYMENT,2,-6.79
711,STEAMGAMES.COM,PAYMENT,6,-15.49
712,STEAMGAMES.COM 425    GERMANY,PAYMENT,2,-3.29
713,STONEHENGE SERVICE,PAYMENT,5,-10.68
714,STRADA WOBURN,PAYMENT,3,-60.0
715,STUDLEY GREEN GARD,PAYMENT,6,-48.07
716,SUBUD BRITAIN         LUCY DAVIES        BBP,PAYMENT,3,-35.0
717,SUPERDRUG,PAYMENT,1,-6.56
718,SUPERPET THE HORSE,PAYMENT,4,-100.64
719,Saba UK-GTR,PAYMENT,5,-35.75
720,Saba UK-GTR,PAYMENT,6,-7.15
721,Saba UK-GTR,PAYMENT,7,-7.15
722,Saba UK-GTR,PAYMENT,8,-7.15
723,Saba UK-GTR,PAYMENT,9,-7.15
724,Spotify P0953F310D,PAYMENT,2,-14.99
725,Spotify P09BFC6090,PAYMENT,3,-14.99
726,Spotify P0A3625F27,PAYMENT,4,-14.99
727,Spotify UK,PAYMENT,5,-14.99
728,Spotify UK,PAYMENT,6,-14.99
729,Spotify UK,PAYMENT,7,-14.99
730,Spotify UK,PAYMENT,9,-14.99
731,SumUp,PAYMENT,8,-16.0
732,Swots,PAYMENT,7,-24.95
733,Swots,PAYMENT,8,-18.95
734,TESCO,PAYMENT,5,-8.6
735,TESCO,PAYMENT,7,-3.0
736,TESCO,PAYMENT,8,-97.34
737,TESCO,PAYMENT,9,-2.6
738,TESCO METRO 2265,PAYMENT,5,-5.5
739,TESCO PFS 3729,PAYMENT,8,-79.03
740,TESCO PFS 3874,PAYMENT,2,-1.3
741,TESCO PFS 3874,PAYMENT,6,-4.45
742,TESCO STORE 2046,PAYMENT,8,-26.43
743,TESCO STORE 2560,PAYMENT,4,-33.35
744,TESCO STORE 2560,PAYMENT,6,-104.36
745,TESCO STORE 2560,PAYMENT,7,-21.19
746,TESCO-STORES 6647,PAYMENT,2,-106.04
747,TFL TRAVEL CH,PAYMENT,1,-12.0
748,TFL TRAVEL CH,PAYMENT,4,-4.6
749,TFL TRAVEL CH,PAYMENT,5,-14.399999999999999
750,TFL TRAVEL CH,PAYMENT,6,-9.6
751,TFL TRAVEL CH,PAYMENT,9,-4.8
752,TH DOLMAN CHEMIST,PAYMENT,1,-9.4
753,TH DOLMAN CHEMIST,PAYMENT,7,-10.6
754,THANET DISTRICT,PAYMENT,8,-2.1
755,THE BELL STREET KI,PAYMENT,2,-5.4
756,THE BELL STREET KI,PAYMENT,3,-7.2
757,THE BELL STREET KI,PAYMENT,6,-5.4
758,THE BELL STREET KI,PAYMENT,7,-2.3
759,THE BLACK HORSE,PAYMENT,4,-77.35
760,THE BLACK HORSE,PAYMENT,6,-52.75
761,THE BLACK HORSE,PAYMENT,7,-94.05
762,THE BLUE COW BUTCH,PAYMENT,1,-24.19
763,THE BLUE COW BUTCH,PAYMENT,5,-22.55
764,THE BLUELIGHT         IRELAND,PAYMENT,1,-34.72
765,THE BOTTLE TOWER 0    IRELAND,PAYMENT,1,-11.21
766,THE CHILDRENS TRUS,PAYMENT,3,-11.5
767,THE CHILDRENS TRUS,PAYMENT,5,-5.0
768,THE CHILDRENS TRUS,PAYMENT,7,-4.0
769,THE CLARKS SHOP,PAYMENT,9,-38.05
770,THE ENTERTAINER 15,PAYMENT,4,-19.0
771,THE ENTERTAINER 15,PAYMENT,8,-6.0
772,THE GALLERY,PAYMENT,2,-7.5
773,THE GARIBALDI,PAYMENT,7,-9.8
774,THE HATCH PUBLIC H,PAYMENT,3,-5.9
775,THE HATCH PUBLIC H,PAYMENT,6,-6.3
776,THE JOHN HAWKSHAW,PAYMENT,2,-5.49
777,THE LEMON TREE 01,PAYMENT,1,-15.98
778,THE LITTLE SHOP,PAYMENT,6,-1.0
779,THE LOOP T2           IRELAND,PAYMENT,5,-51.41
780,THE METAL STORE,PAYMENT,7,-121.42
781,THE MIXING JUG,PAYMENT,6,-7.2
782,THE MOORINGS RESTA,PAYMENT,8,-46.4
783,THE OLD BRIDGE INN,PAYMENT,8,-97.35
784,THE POST OFFICE,PAYMENT,8,-1.5
785,THE RED LION,PAYMENT,4,-14.4
786,THE SCIENCE MUSEUM,PAYMENT,1,-26.0
787,THE STABLES CAFE,PAYMENT,7,-26.85
788,THE STATION PUB,PAYMENT,4,-72.07
789,THE SWAN AT HAY,PAYMENT,8,-230.4
790,THE TEA HOUSE,PAYMENT,5,-4.6
791,THE WALLED GARDEN,PAYMENT,6,-6.55
792,THE WORKS,PAYMENT,4,-33.2
793,TICKETS COM,PAYMENT,5,-21.5
794,TIGER,PAYMENT,7,-3.0
795,TILGATE NATURE CEN,PAYMENT,6,-7.0
796,TIMPSON INSIDE MOR,PAYMENT,1,-24.5
797,TIMPSON INSIDE MOR,PAYMENT,2,-19.5
798,TK MAXX,PAYMENT,3,-91.32
799,TK MAXX,PAYMENT,4,-39.99
800,TK MAXX,PAYMENT,7,-31.97
801,TODDINGTON N,PAYMENT,5,-5.98
802,TONI&#039;S DINER 01       IRELAND,PAYMENT,7,-5.5
803,TOOLSTATION,PAYMENT,3,-3.84
804,TOPSHOP,PAYMENT,8,-55.0
805,TOY BARNHAUS,PAYMENT,3,-52.97
806,TOY BARNHAUS,PAYMENT,6,-17.46
807,TRAINLINE,PAYMENT,3,-30.85
808,TRIBE,PAYMENT,6,-122.43
809,TU AT SAINSBURYS,PAYMENT,8,-28.0
810,TWO MANY COOKS,PAYMENT,3,-24.049999999999997
811,TWO MANY COOKS,PAYMENT,5,-4.6
812,TWO MANY COOKS,PAYMENT,9,-2.3
813,The metal store,PAYMENT,7,-59.02
814,UBER TRIP HELP.UBE,PAYMENT,6,-5.18
815,UBER TRIP HELP.UBE,PAYMENT,8,-5.81
816,URBAN EXPRESS 1131,PAYMENT,1,-2.18
817,URBAN EXPRESS 1131,PAYMENT,2,-2.18
818,URBAN EXPRESS 1131,PAYMENT,4,-1.09
819,URBAN EXPRESS 1131,PAYMENT,5,-1.09
820,URBAN EXPRESS 1131,PAYMENT,7,-1.09
821,URBAN EXPRESS 1131,PAYMENT,8,-1.09
822,URBAN EXPRESS 1131,PAYMENT,9,-1.09
823,URBAN KITCHEN,PAYMENT,2,-2.6
824,USCUSTOMS ESTA APP    USA,PAYMENT,1,-11.03
825,VAGABOND WINES,PAYMENT,1,-5.0
826,VENDING SOLUTIONS,PAYMENT,3,-4.3
827,VUE BSL,PAYMENT,7,-26.96
828,Vue Cinema,PAYMENT,6,-23.96
829,Vue Cinemas,PAYMENT,6,-14.26
830,Vue Cinemas,PAYMENT,7,-5.53
831,W A BENNETT,PAYMENT,8,-120.0
832,W M MORRISONS.COM,PAYMENT,1,-210.77
833,W M MORRISONS.COM,PAYMENT,2,-104.17
834,W M MORRISONS.COM,PAYMENT,8,-104.52
835,W M MORRISONS.COM,PAYMENT,9,-211.39
836,WAGAMAMA 244,PAYMENT,3,-33.15
837,WAGAMAMA 244,PAYMENT,6,-33.6
838,WAGAMAMA 244,PAYMENT,7,-63.5
839,WAGAMAMA BRIGHTON,PAYMENT,2,-29.1
840,WAGAMAMA ROYAL FES,PAYMENT,1,-27.5
841,WAITROSE 182,PAYMENT,3,-13.01
842,WAITROSE 195,PAYMENT,4,-28.45
843,WAITROSE 206,PAYMENT,2,-52.32
844,WAITROSE 206,PAYMENT,6,-37.48
845,WAITROSE 527,PAYMENT,1,-6.15
846,WAITROSE 527,PAYMENT,6,-2.7
847,WAITROSE 573,PAYMENT,1,-74.36999999999999
848,WAITROSE 573,PAYMENT,2,-41.64
849,WAITROSE 573,PAYMENT,3,-46.89
850,WAITROSE 573,PAYMENT,4,-62.019999999999996
851,WAITROSE 573,PAYMENT,5,-36.82
852,WAITROSE 573,PAYMENT,6,-10.93
853,WAITROSE 573,PAYMENT,8,-21.549999999999997
854,WAITROSE 580,PAYMENT,7,-28.82
855,WATERSTONES,PAYMENT,1,-19.97
856,WATERSTONES,PAYMENT,2,-9.99
857,WATERSTONES,PAYMENT,3,-14.98
858,WATERSTONES,PAYMENT,4,-6.99
859,WATERSTONES,PAYMENT,7,-16.98
860,WATERSTONES,PAYMENT,8,-26.97
861,WATERSTONES,PAYMENT,9,-6.99
862,WELCOME B,PAYMENT,5,-3.75
863,WELCOME B,PAYMENT,7,-23.15
864,WELCOME B,PAYMENT,8,-19.9
865,WELCOME BREAK KFC,PAYMENT,5,-8.71
866,WELCOME BREAK STAR,PAYMENT,7,-3.4
867,WELCOME BREAK STAR,PAYMENT,8,-3.05
868,WEST CENTRAL,PAYMENT,2,-11.600000000000001
869,WEST CENTRAL,PAYMENT,3,-23.849999999999998
870,WEST CENTRAL,PAYMENT,5,-4.55
871,WEST CENTRAL,PAYMENT,8,-9.35
872,WH SMITH,PAYMENT,2,-21.06
873,WH SMITH,PAYMENT,3,-39.07
874,WH SMITH,PAYMENT,4,-7.99
875,WH SMITH,PAYMENT,6,-11.48
876,WH SMITH,PAYMENT,7,-46.96
877,WH SMITH,PAYMENT,8,-47.550000000000004
878,WH SMITH,PAYMENT,9,-2.49
879,WH SMITH              IRELAND,PAYMENT,1,-16.88
880,WH SMITH              IRELAND,PAYMENT,7,-5.55
881,WH SMITH TRAVEL,PAYMENT,2,-1.35
882,WH SMITH TRAVEL,PAYMENT,3,-2.6
883,WH SMITH TRAVEL,PAYMENT,4,-5.74
884,WH SMITH TRAVEL,PAYMENT,5,-3.1500000000000004
885,WH SMITH TRAVEL,PAYMENT,6,-3.49
886,WH SMITH TRAVEL,PAYMENT,7,-1.99
887,WH SMITH TRAVEL,PAYMENT,8,-10.28
888,WH SMITH TRAVEL,PAYMENT,9,-24.85
889,WHAT THE PITTA,PAYMENT,8,-8.0
890,WHISTLESTOP,PAYMENT,1,-1.99
891,WHISTLESTOP,PAYMENT,2,-1.09
892,WHISTLESTOP,PAYMENT,6,-2.58
893,WHITE HORSE HOTEL,PAYMENT,6,-122.5
894,WILKO RETAIL LIMIT,PAYMENT,1,-9.0
895,WILKO RETAIL LIMIT,PAYMENT,2,-19.5
896,WILLIAM GLEN,PAYMENT,8,-2.0
897,WIMPY INTERNATIONA,PAYMENT,6,-12.05
898,WKZRESUME BUILDER     PUERTO RICO,PAYMENT,7,-2.2399999999999998
899,WKZRESUME BUILDER     PUERTO RICO,PAYMENT,8,-41.8
900,WM MORRISONS STORE,PAYMENT,1,-340.47
901,WM MORRISONS STORE,PAYMENT,2,-150.44
902,WM MORRISONS STORE,PAYMENT,3,-278.44
903,WM MORRISONS STORE,PAYMENT,4,-135.73999999999998
904,WM MORRISONS STORE,PAYMENT,5,-126.72999999999999
905,WM MORRISONS STORE,PAYMENT,6,-298.74
906,WM MORRISONS STORE,PAYMENT,7,-418.42
907,WM MORRISONS STORE,PAYMENT,8,-129.26
908,WM MORRISONS STORE,PAYMENT,9,-2.5
909,WOBURN CP-LEON 184,PAYMENT,3,-13.0
910,WOODHATCH SERVICE,PAYMENT,7,-16.99
911,WOTTON FARM SHOP,PAYMENT,4,-17.49
912,WWW.BETTER.ORG.UK.,PAYMENT,3,-43.66
913,WWW.COTSWOLDFARMPA,PAYMENT,4,-53.0
914,WWW.DOMINOS.CO.UK,PAYMENT,2,-26.72
915,WWW.DOMINOS.CO.UK,PAYMENT,3,-30.22
916,WWW.EDFRINGE.COM,PAYMENT,8,-35.2
917,WWW.FRASERPORTRAIT,PAYMENT,6,-26.0
918,WWW.FREEDOM-LEISUR,PAYMENT,1,-24.57
919,WWW.FREEDOM-LEISUR,PAYMENT,7,-21.16
920,WWW.GEAR4MUSIC.COM,PAYMENT,4,-8.95
921,WWW.GOAPE.CO.UK,PAYMENT,4,-119.0
922,WWW.IKEA.COM,PAYMENT,1,-29.7
923,WWW.KYBOTECH.CO.UK,PAYMENT,7,-1123.2
924,WWW.PARKMOBILE.COM,PAYMENT,2,-5.4
925,WWW.PRIMROSE.CO.UK,PAYMENT,7,-102.97
926,WWW.REIGATE-BANSTE,PAYMENT,6,-30.0
927,WWW.STAREDITIONS.C,PAYMENT,1,-30.45
928,WWW.TOOLSTATION.CO,PAYMENT,3,-14.0
929,WWW.ULTIMATEACTIVI,PAYMENT,4,-92.0
930,YO SUSHI,PAYMENT,4,-87.0
931,YO SUSHI,PAYMENT,7,-33.4
932,YO SUSHI,PAYMENT,8,-40.0
933,ZARA KINGSTON,PAYMENT,4,-18.98
934,notonthehighstreet,PAYMENT,1,-12.75
