Date,Amount,Subcategory,ITEM,,,,
09/10/2019,-5.95,PAYMENT,MARKS&SPENCER PLC,,,,
09/10/2019,-3,PAYMENT,REIGATE PARISH CHU,,,,
09/10/2019,-2,PAYMENT,Mid Sussex Distric,,,,
09/10/2019,-1.99,PAYMENT,JOHN LEWIS FINANCIAL,,,,
09/10/2019,-105.07,PAYMENT,SHELL CLEARVIEW,,,,
08/10/2019,-18,PAYMENT,ACCESSORIZE LTD,,,,
08/10/2019,-12.5,PAYMENT,SOUTHERN CO-OP,,,,
08/10/2019,-7.4,PAYMENT,PP JCT,,,,
08/10/2019,-4.7,PAYMENT,CO-OP GROUP FOOD,,,,
08/10/2019,-3.99,PAYMENT,TFL TRAVEL CH,,,,
08/10/2019,-2.37,PAYMENT,BRITISH HEART FOUN,,,,
08/10/2019,-1.7,PAYMENT,EAST SURREY HOSPIT,,,,
08/10/2019,-22.99,PAYMENT,EAST SURREY HOSPIT,,,,
08/10/2019,-10.5,DIRECTDEBIT,EAST SURREY HOSPIT,,,,
07/10/2019,22.99,DIRECTDEP,WH SMITH,,,,
07/10/2019,-50,FT,URBAN KITCHEN,,,,
07/10/2019,-30,PAYMENT,URBAN EXPRESS,,,,
07/10/2019,-20,PAYMENT,W M MORRISONS.COM,,,,
07/10/2019,-17.8,PAYMENT,Saba UK-GTR,,,,
07/10/2019,-16.45,PAYMENT,HOMEBASE LTD,,,,
07/10/2019,-15.9,PAYMENT,EAST SURREY HOSPIT,,,,
07/10/2019,-3.7,PAYMENT,BP HILLSIDE CONNEC,,,,
07/10/2019,-3.5,PAYMENT,WM MORRISONS STORE,,,,
07/10/2019,-3,PAYMENT,URBAN EXPRESS,,,,
07/10/2019,-2.88,PAYMENT,WM MORRISONS STORE,,,,
07/10/2019,-2.5,PAYMENT,WH SMITH TRAVEL,,,,
07/10/2019,-2.3,PAYMENT,WH SMITH,,,,
07/10/2019,-34.85,PAYMENT,POST OFFICE COUNTE,,,,
07/10/2019,-24.27,PAYMENT,EAST SURREY HOSPIT,,,,
07/10/2019,-7.99,PAYMENT,CLAIRE'S ACCESSORI,,,,
07/10/2019,-2.5,PAYMENT,EAST SURREY HOSPIT,,,,
07/10/2019,-2.49,PAYMENT,EAST SURREY HOSPIT,,,,
07/10/2019,-0.79,PAYMENT,BRIGHTON&HOVE CI,,,,
07/10/2019,-19.82,DIRECTDEBIT,WWW.SWINTON.CO.UK,,,,
04/10/2019,37.72,DIRECTDEP,W M MORRISONS.COM,,,,
04/10/2019,-1,FT,BP HILLSIDE CONNEC,,,,
04/10/2019,-29.36,PAYMENT,POST OFFICE COUNTE,,,,
04/10/2019,-8,PAYMENT,Metrobus,,,,
04/10/2019,-3,PAYMENT,MILK&MORE,,,,
04/10/2019,-15,PAYMENT,ITUNES.COM/BILL,,,,
04/10/2019,-3.49,PAYMENT,WH SMITH TRAVEL,,,,
04/10/2019,-3.24,PAYMENT,SAINSBURYS S/MKTS,,,,
04/10/2019,-1.59,PAYMENT,Metrobus,,,,
04/10/2019,-85,DIRECTDEBIT,SLIPSHOE ST DENTAL,,,,
04/10/2019,-231.63,DIRECTDEBIT,Audible.co.uk,,,,
03/10/2019,0.01,DIRECTDEP,CO-OP GROUP FOOD,,,,
03/10/2019,-3.55,PAYMENT,W M MORRISONS.COM,,,,
03/10/2019,-3,PAYMENT,NOWTV.COM/BILLINGH,,,,
03/10/2019,-1.9,PAYMENT,MILK&MORE,,,,
03/10/2019,-0.4,PAYMENT,POUNDLAND LTD,,,,
03/10/2019,-20,CASH,MARKS&SPENCER PLC,,,,
03/10/2019,-14.99,PAYMENT,COSTA COFFEE,,,,
03/10/2019,-210,REPEATPMT,CLAIRE'S ACCESSORI,,,,
03/10/2019,-35,DIRECTDEBIT,SHOPIFY,,,,
02/10/2019,-54,FT,COSTA COFFEE,,,,
02/10/2019,-7.4,PAYMENT,PUCCINO'S REDHILL,,,,
02/10/2019,-3,PAYMENT,EAST SURREY HOSPIT,,,,
02/10/2019,-1.65,PAYMENT,ADOBE STOCK,,,,
02/10/2019,-1,PAYMENT,WH SMITH,,,,
02/10/2019,-0.65,PAYMENT,URBAN EXPRESS,,,,
02/10/2019,-147.9,PAYMENT,PUCCINO'S REDHILL,,,,
02/10/2019,-128.95,PAYMENT,POST OFFICE SELF S,,,,
02/10/2019,-30,PAYMENT,PAPERCHASE,,,,
02/10/2019,-3.48,PAYMENT,IKEA LTD,,,,
02/10/2019,-3.48,PAYMENT,HOBBYCRAFT,,,,
02/10/2019,-3.48,PAYMENT,EAST SURREY HOSPIT,,,,
02/10/2019,-3.48,PAYMENT,County Mall Car Pa,,,,
02/10/2019,-0.7,PAYMENT,BOOTS,,,,
02/10/2019,-50,DIRECTDEBIT,THE CLARKS SHOP,,,,
01/10/2019,-300,PAYMENT,IKEA LTD,,,,
01/10/2019,-26.01,PAYMENT,Amazon Prime,,,,
01/10/2019,-500,FT,WH SMITH TRAVEL,,,,
01/10/2019,-4.95,PAYMENT,WATERSTONES,,,,
01/10/2019,-3.15,PAYMENT,M&S SIMPLY FOOD -,,,,
01/10/2019,-3,PAYMENT,EAST SURREY HOSPIT,,,,
01/10/2019,-20,CASH,Belfry Shop,,,,
01/10/2019,-29.99,PAYMENT,W M MORRISONS.COM,,,,
01/10/2019,-585.04,DIRECTDEBIT,NEXT DIRECTORY,,,,
01/10/2019,-2400,DIRECTDEBIT,STARBUCKS,,,,
30/09/2019,7807.93,DIRECTDEP,PUCCINOS REDHILL P,,,,
30/09/2019,-2,FT,PUCCINO'S REDHILL,,,,
30/09/2019,-2,FT,PRET A MANGER,,,,
30/09/2019,-25.5,PAYMENT,M&M 'S WORLD. LO,,,,
30/09/2019,-10.7,PAYMENT,LEGO STORE,,,,
30/09/2019,-5.96,PAYMENT,BUBBLEWRAP WAFFLE,,,,
30/09/2019,-3.02,PAYMENT,BP HILLSIDE CONNEC,,,,
30/09/2019,-3,PAYMENT,AMT COFFEE,,,,
30/09/2019,-2.98,PAYMENT,Spotify UK,,,,
30/09/2019,-2.59,PAYMENT,Saba UK-GTR,,,,
30/09/2019,-2.5,PAYMENT,NEW SOUTHERN RAILW,,,,
30/09/2019,-2.4,PAYMENT,GOOGLE,,,,
30/09/2019,-2,PAYMENT,GAYTON VETERINARY,,,,
30/09/2019,-1.95,PAYMENT,WH SMITH TRAVEL,,,,
30/09/2019,-1.5,PAYMENT,SAINSBURYS S/MKTS,,,,
30/09/2019,-35.5,PAYMENT,EAST SURREY HOSPIT,,,,
30/09/2019,-34.32,PAYMENT,EAST SURREY HOSPIT,,,,
30/09/2019,-26.7,PAYMENT,WM MORRISONS STORE,,,,
30/09/2019,-23.17,PAYMENT,HOMEBASE LTD,,,,
30/09/2019,-60,CASH,BOOTS,,,,
27/09/2019,-50,FT,SAINSBURY'S S/MKTS,,,,
27/09/2019,-3,PAYMENT,AMZNMktplace,,,,
27/09/2019,-2,PAYMENT,EAST SURREY HOSPIT,,,,
27/09/2019,-1.9,PAYMENT,BP HILLSIDE CONNEC,,,,
27/09/2019,-0.65,PAYMENT,STARBUCKS,,,,
27/09/2019,-39.84,PAYMENT,SAINSBURYS S/MKTS,,,,
27/09/2019,-3.24,PAYMENT,RONTEC REIGATE MAN,,,,
26/09/2019,-3.29,PAYMENT,PRET A MANGER,,,,
26/09/2019,-3,PAYMENT,MCDONALDS,,,,
26/09/2019,-0.7,PAYMENT,M&S SIMPLY FOOD -,,,,
26/09/2019,-9.98,PAYMENT,MILK&MORE,,,,
26/09/2019,-3,PAYMENT,WKZRESUME BUILDER,,,,
25/09/2019,150,BBP,AMAZON.CO.UK,,,,
25/09/2019,-17.3,PAYMENT,WH SMITH TRAVEL,,,,
25/09/2019,-2.75,PAYMENT,PUCCINO'S REDHILL,,,,
25/09/2019,-10,CASH,EAST SURREY HOSPIT,,,,
25/09/2019,-6.2,PAYMENT,BOOTS,,,,
25/09/2019,-19.73,DIRECTDEBIT,W M MORRISONS.COM,,,,
24/09/2019,9.1,REFUND,HOMEBASE LTD,,,,
24/09/2019,-15.7,PAYMENT,WH SMITH TRAVEL,,,,
24/09/2019,-12,PAYMENT,SAINSBURYS S/MKTS,,,,
24/09/2019,-9.1,PAYMENT,EAST SURREY HOSPIT,,,,
24/09/2019,-6.15,PAYMENT,EAST SURREY HOSPIT,,,,
24/09/2019,-5.2,PAYMENT,M&S SIMPLY FOOD,,,,
24/09/2019,-10,CASH,LEIGH DELAMERE N/E,,,,
24/09/2019,-17,PAYMENT,HAY WYE BOOKSEL,,,,
24/09/2019,-1.2,PAYMENT,THE SWAN AT HAY,,,,
23/09/2019,180,DIRECTDEP,TESCO PFS,,,,
23/09/2019,-50,FT,THE SWAN AT HAY,,,,
23/09/2019,-25,FT,SPAR HAY-ON-WYE,,,,
23/09/2019,-180,PAYMENT,RICHARD BOOTHS BOO,,,,
23/09/2019,-28.33,PAYMENT,COFFEE #,,,,
23/09/2019,-24,PAYMENT,TESCO STORES,,,,
23/09/2019,-10.34,PAYMENT,THE POST OFFICE,,,,
23/09/2019,-8.9,PAYMENT,TESCO PFS,,,,
23/09/2019,-5,PAYMENT,CAFE CWTCH,,,,
23/09/2019,-4.8,PAYMENT,OLD WHITE HORSE,,,,
23/09/2019,-4.47,PAYMENT,WELCOME BREAK STAR,,,,
23/09/2019,-3,PAYMENT,WELCOME B/WAITROSE,,,,
23/09/2019,-3,PAYMENT,SEVERN VIEW WH SMI,,,,
23/09/2019,-3,PAYMENT,BUBBLES CAR WASH,,,,
23/09/2019,-3,PAYMENT,TESCO STORES,,,,
23/09/2019,-2.99,PAYMENT,SHELL BUCKLAND,,,,
23/09/2019,-2.6,PAYMENT,WHAT THE PITTA,,,,
23/09/2019,-2.4,PAYMENT,SMIGGLE,,,,
23/09/2019,-1.09,PAYMENT,PUCCINO'S REDHILL,,,,
23/09/2019,-111.14,PAYMENT,NEW SOUTHERN RAILW,,,,
23/09/2019,-2.25,PAYMENT,IZ,,,,
23/09/2019,-54.58,DIRECTDEBIT,YO SUSHI,,,,
20/09/2019,-1.45,PAYMENT,Saba UK-GTR,,,,
20/09/2019,-1.99,PAYMENT,MILK&MORE,,,,
20/09/2019,-3,PAYMENT,MARKS&SPENCER PLC,,,,
20/09/2019,-3.75,PAYMENT,WM MORRISONS STORE,,,,
20/09/2019,-3.24,PAYMENT,SAINSBURYS S/MKTS,,,,
19/09/2019,-11.99,PAYMENT,SAINSBURYS S/MKTS,,,,
19/09/2019,-3,PAYMENT,Swots,,,,
19/09/2019,-3,PAYMENT,M&S SIMPLY FOOD -,,,,
19/09/2019,-2.1,PAYMENT,COLE ADOLPHY LIMIT,,,,
19/09/2019,-11.5,PAYMENT,TU AT SAINSBURYS,,,,
19/09/2019,-1.09,PAYMENT,MARKS&SPENCER PLC,,,,
18/09/2019,-9.4,PAYMENT,GOOGLE Google Stor,,,,
18/09/2019,-3.35,PAYMENT,STARBUCKS,,,,
18/09/2019,-3.5,PAYMENT,ITSU,,,,
18/09/2019,-1.06,PAYMENT,COSTA COFFEE,,,,
18/09/2019,-3,PAYMENT,BOOTS,,,,
18/09/2019,-6,PAYMENT,BOOTS,,,,
18/09/2019,-31,DIRECTDEBIT,WEST CENTRAL,,,,
17/09/2019,-4,PAYMENT,M&S SIMPLY FOOD -,,,,
16/09/2019,-3,PAYMENT,HOLLAND&BARRETT,,,,
16/09/2019,-3,PAYMENT,SAINSBURY'S S/MKTS,,,,
16/09/2019,-16.88,PAYMENT,AMZNMktplace,,,,
16/09/2019,-87.47,PAYMENT,COSTA COFFEE,,,,
16/09/2019,-32.64,PAYMENT,COLE ADOLPHY LIMIT,,,,
16/09/2019,-20,REPEATPMT,BUBBLEOLOGY,,,,
16/09/2019,-10,DIRECTDEBIT,TOPSHOP,,,,
16/09/2019,-3.45,PAYMENT,SumUp,,,,
16/09/2019,-5,PAYMENT,HOMEBASE LTD,,,,
16/09/2019,-2.3,PAYMENT,SHELL ALDERMASTON,,,,
13/09/2019,20.88,OTH,HONESTY@BUCKLEBURY,,,,
13/09/2019,20.92,OTH,BP HILLSIDE CONNEC,,,,
13/09/2019,0.83,OTH,WAITROSE,,,,
13/09/2019,1.41,OTH,PUCCINO'S REDHILL,,,,
13/09/2019,-5,PAYMENT,SAINSBURYS S/MKTS,,,,
13/09/2019,-3.24,PAYMENT,MILK&MORE,,,,
13/09/2019,-600,OTH,MIA GUITAR,,,,
13/09/2019,-18.99,DIRECTDEBIT,URBAN EXPRESS,,,,
13/09/2019,-50,FT,SAINSBURY'S S/MKTS,,,,
12/09/2019,-8.99,PAYMENT,SAINSBURY'S S/MKTS,,,,
12/09/2019,-3,PAYMENT,POST OFFICE COUNTE,,,,
12/09/2019,-9.3,PAYMENT,WM MORRISONS STORE,,,,
11/09/2019,-50,CASH,WH SMITH,,,,
11/09/2019,-2.5,PAYMENT,SAINSBURYS S/MKTS,,,,
11/09/2019,-100,PAYMENT,BENEFIT COSMETICS,,,,
11/09/2019,-7.99,PAYMENT,AA DRIVETECH,,,,
10/09/2019,-0.9,PAYMENT,WAITROSE,,,,
10/09/2019,-101.32,PAYMENT,YO SUSHI,,,,
10/09/2019,-2.3,PAYMENT,WH SMITH,,,,
10/09/2019,-7.99,PAYMENT,WH SMITH,,,,
10/09/2019,-3.24,PAYMENT,WH SMITH,,,,
09/09/2019,-0.79,PAYMENT,EAT,,,,
09/09/2019,-2,PAYMENT,CAFFE NERO EDINBUR,,,,
09/09/2019,-3,PAYMENT,BURGER KING,,,,
09/09/2019,-28,PAYMENT,AMZNMktplace,,,,
09/09/2019,-10.5,DIRECTDEBIT,SPAR CARRBRIDGE,,,,
09/09/2019,-5.35,PAYMENT,CARRBRIDGE HOTEL,,,,
09/09/2019,-7.2,PAYMENT,ARK ENTERPRISES LI,,,,
09/09/2019,-10,PAYMENT,ALDI STORES,,,,
09/09/2019,-300,CASH,NOWTV.COM/BILLINGH,,,,
09/09/2019,-24.29,PAYMENT,WILLIAM GLEN,,,,
09/09/2019,-82,FT,THE ENTERTAINER,,,,
09/09/2019,288.45,FT,LOCH NESS CTRE&E,,,,
09/09/2019,-2.7,PAYMENT,IZ,,,,
06/09/2019,-4.8,PAYMENT,IZ,,,,
06/09/2019,-2,PAYMENT,CO-OP GROUP,,,,
06/09/2019,-3,PAYMENT,THE MOORINGS RESTA,,,,
06/09/2019,-2.85,PAYMENT,COSTA COFFEE,,,,
06/09/2019,-65,FT,THE OLD BRIDGE INN,,,,
06/09/2019,119.31,FT,Audible.co.uk,,,,
06/09/2019,-200,PAYMENT,TESCO STORE,,,,
06/09/2019,-250,PAYMENT,ROTHIEMURCHUS,,,,
06/09/2019,-500,FT,ROTHIEMURCHUS,,,,
05/09/2019,-23.99,PAYMENT,ROTHIEMURCHUS,,,,
05/09/2019,-2.49,PAYMENT,ALDI STORES,,,,
05/09/2019,-1.09,PAYMENT,MILK&MORE,,,,
05/09/2019,-2,PAYMENT,SHOPIFY,,,,
05/09/2019,-2.3,PAYMENT,LANDMARK FOREST AD,,,,
05/09/2019,-3.5,PAYMENT,LANDMARK FOREST AD,,,,
05/09/2019,-7.8,PAYMENT,LANDMARK FOREST AD,,,,
05/09/2019,-2.5,PAYMENT,LANDMARK FOREST AD,,,,
05/09/2019,-3,PAYMENT,LANDMARK FOREST AD,,,,
05/09/2019,-2.5,PAYMENT,LANDMARK FOREST AD,,,,
05/09/2019,-6.41,PAYMENT,TESCO STORE,,,,
05/09/2019,-38.05,PAYMENT,SPAR CARRBRIDGE,,,,
05/09/2019,-70.75,PAYMENT,CARRBRIDGE KITCHEN,,,,
05/09/2019,-32.03,DIRECTDEBIT,KINROSS MWSA,,,,
04/09/2019,-1,FT,ITUNES.COM/BILL,,,,
04/09/2019,-7.99,PAYMENT,Amazon Prime,,,,
04/09/2019,-1.3,PAYMENT,WH SMITH,,,,
04/09/2019,-6.99,PAYMENT,WH SMITH,,,,
04/09/2019,-2.95,PAYMENT,PROCAFFEINATION,,,,
04/09/2019,-3,PAYMENT,PRET A MANGER,,,,
04/09/2019,-6.59,PAYMENT,EDINBURGH WAVERLEY,,,,
04/09/2019,-1,PAYMENT,WWW.EDFRINGE.COM,,,,
04/09/2019,-110.07,PAYMENT,UBER TRIP HELP.UBE,,,,
04/09/2019,-25,PAYMENT,ALDI STORES,,,,
04/09/2019,-231.63,DIRECTDEBIT,IZ,,,,
03/09/2019,-4.8,PAYMENT,UBER TRIP HELP.UBE,,,,
03/09/2019,-2,PAYMENT,MOUNTAIN WAREHOUSE,,,,
03/09/2019,-4.2,PAYMENT,EDINBURGH ZOO,,,,
03/09/2019,-12.73,PAYMENT,Amazon Prime,,,,
03/09/2019,-1.44,PAYMENT,SAINSBURYS S/MKTS,,,,
03/09/2019,-9.04,PAYMENT,PRET A MANGER,,,,
03/09/2019,-6.99,PAYMENT,HMSHOST EUSTON STA,,,,
03/09/2019,-20.06,PAYMENT,DYNAMIC EARTH RETA,,,,
